NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_TO_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2014_OR_LATER,BUILT_2010_2013,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE,FOREIGN_BORN_FB,EUROPEAN_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
Chaffee Park,3820.0,1899.0,1750.0,53.0,9.0,8.0,21.0,0.0,80.0,49.71204188,45.81151832,1.38743456,0.23560209,0.20942408,0.54973822,0.0,2.09424084,1779.0,2041.0,126.0,122.0,199.0,198.0,248.0,410.0,667.0,720.0,425.0,509.0,398.0,310.0,133.0,645.0,853.0,16.88481675,22.32984293,37.2,35.6,37.7,3809,837,69,27,113,137,184,114,193,2972,1854.0,291.0,764.0,419.0,248.0,132.0,2976.0,602.0,728.0,555.0,1091.0,3694.0,2491.0,1159.0,1763,1663,100,981,682,1663,822,626,196,35,161,841,658,183,52,181,35,139,91,81,38,61,80,65,158,315,117,131,48,71,62639,75185,37414,62639,75185,47000,50615,34403,23466,23814,47070,51250,62778,1949.0,67,168,35,57,38,66,128,227,858,119,1184,1244,290100,3374,446,9,0,9,0,0,8,0,0,8,0,8,8,0,0,0,0,421,421,0,421,0,0,9.7,7.17761557
Sunnyside,10091.0,4424.0,4763.0,458.0,57.0,181.0,11.0,60.0,137.0,44.71029516,46.26217513,4.5666096,0.61068685,1.84295613,0.09152937,0.53681135,1.37893642,5126.0,4965.0,503.0,581.0,568.0,249.0,1084.0,983.0,1622.0,2299.0,1364.0,1013.0,880.0,690.0,156.0,1901.0,1703.0,18.6573475,16.74882755,35.13333333,34.8,35.6,9763,1964,153,129,478,501,294,252,157,7799,5161.0,945.0,2660.0,846.0,425.0,285.0,7685.0,1391.0,1604.0,1648.0,3042.0,9588.0,7654.0,1737.0,4392,4155,237,2261,1894,4155,2330,1415,915,293,622,1825,1230,595,436,233,120,123,141,229,174,139,83,315,317,396,493,325,266,365,67362,75565,36908,67362,75565,43655,46477,41788,21122,28859,34582,63344,72893,1298.0,46,177,47,84,110,164,351,856,525,2032,966,1031,455067,9209,882,67,38,0,7,22,81,36,11,34,0,72,72,0,0,0,15,647,619,0,605,14,28,18.36666667,15.13904626
Highland,10549.0,2619.0,7290.0,101.0,211.0,201.0,0.0,0.0,127.0,25.19154172,68.94340669,0.95408101,1.85201446,1.9546083,0.0,0.0,1.10434783,5349.0,5200.0,610.0,358.0,438.0,139.0,968.0,648.0,2319.0,3101.0,1379.0,981.0,619.0,251.0,283.0,1545.0,997.0,14.7064932,9.31575962,33.5,33.55,33.05,10192,1587,288,71,261,335,214,196,222,8605,6161.0,1558.0,2590.0,1268.0,503.0,242.0,8439.0,771.0,927.0,953.0,5788.0,9939.0,8482.0,1160.0,5863,5437,426,2161,3276,5437,1866,1309,557,208,349,3571,2470,1101,235,174,98,385,116,217,63,174,166,161,464,768,490,431,653,842,87636,122640,62388,87636,122640,59494,69720,54101,12713,15184,51232,65394,88360,1979.5,909,643,683,360,163,202,249,297,276,2081,1614,1682,559400,9778,771,179,32,29,44,74,142,86,15,41,0,14,14,0,0,0,0,436,402,0,376,26,34,7.65,2.84552846
Globeville,4377.0,2551.0,1453.0,182.0,10.0,53.0,0.0,18.0,110.0,58.28192826,33.19625314,4.15809916,0.22846699,1.21087503,0.0,0.41124058,2.51313685,2529.0,1848.0,204.0,305.0,323.0,86.0,509.0,908.0,824.0,822.0,416.0,377.0,289.0,142.0,90.0,918.0,430.0,20.97326936,9.82408042,28.9,27.8,30.4,4272,1536,17,67,229,277,121,801,24,2736,2010.0,428.0,856.0,592.0,92.0,42.0,2401.0,780.0,716.0,424.0,481.0,4173.0,2545.0,1509.0,1271,1220,51,543,677,1220,788,448,340,95,245,432,317,115,123,20,75,108,85,54,38,30,81,178,165,195,9,31,0,28,49737,50119,17693,49737,50119,30241,34647,24155,26603,28382,39671,41750,39306,0.0,17,98,90,71,12,38,139,39,130,637,939,1150,235700,3571,806,38,29,9,0,0,19,19,0,0,0,21,21,0,0,0,5,723,723,12,691,20,0,29.6,17.89340102
Jefferson Park,3490.0,964.0,2335.0,13.0,0.0,160.0,0.0,0.0,18.0,27.6217765,66.90544413,0.37249284,0.0,4.58452722,0.0,0.0,0.51575931,1617.0,1873.0,209.0,72.0,56.0,17.0,281.0,126.0,1230.0,1144.0,359.0,142.0,113.0,79.0,16.0,354.0,203.0,10.14326648,5.81661891,30.7,31.4,30.0,3373,583,36,0,72,56,28,227,164,2790,2557.0,517.0,1292.0,441.0,108.0,199.0,2867.0,307.0,216.0,463.0,1881.0,3281.0,2535.0,582.0,2208,2059,149,503,1556,2059,625,448,177,43,134,1434,996,438,163,55,96,129,16,23,86,132,39,150,169,236,152,198,182,233,73417,112788,57526,73417,112788,58611,73716,51853,12063,20970,38576,70000,73011,2004.0,775,178,256,21,13,120,251,180,5,409,1213,1247,563600,2999,491,40,9,0,0,31,54,10,10,34,0,13,0,0,0,13,0,384,384,0,342,42,0,16.1,15.52
Sun Valley,1437.0,599.0,146.0,627.0,27.0,36.0,0.0,0.0,2.0,41.68406402,10.16005567,43.63256785,1.87891441,2.50521921,0.0,0.0,0.13917885,692.0,745.0,299.0,214.0,232.0,140.0,513.0,402.0,81.0,261.0,85.0,34.0,51.0,4.0,6.0,885.0,46.0,61.58663883,3.20111343,14.6,11.0,24.9,1266,719,109,46,180,165,179,40,0,547,262.0,42.0,126.0,41.0,7.0,46.0,499.0,177.0,153.0,120.0,49.0,1138.0,772.0,124.0,466,411,55,25,386,411,354,72,282,9,273,57,52,5,170,43,54,48,23,7,17,8,5,4,7,0,25,0,0,0,13125,15132,6348,13125,15132,14167,30625,10257,17944,15417,0,0,0,1960.0,0,0,0,39,9,48,132,178,21,39,247,302,381300,1204,233,0,0,0,0,0,36,0,0,36,0,169,14,135,0,20,0,28,28,0,28,0,0,76.8,72.31638418
Valverde,4803.0,3714.0,541.0,228.0,9.0,268.0,0.0,34.0,9.0,77.32667083,11.26379346,4.7470331,0.18738289,5.57984593,0.0,0.7078909,0.18738289,2545.0,2258.0,411.0,508.0,319.0,236.0,919.0,706.0,472.0,697.0,683.0,497.0,542.0,155.0,132.0,1474.0,551.0,30.68915261,11.47199667,34.5,34.2,36.4,4638,1285,104,57,493,200,314,105,12,3353,1984.0,362.0,540.0,791.0,252.0,39.0,2882.0,979.0,1228.0,320.0,355.0,4392.0,1784.0,2254.0,1413,1413,0,700,713,1413,1073,677,396,156,240,340,265,75,130,58,151,59,64,9,149,59,74,142,123,161,87,117,18,12,45929,52375,17947,45929,52375,31853,37011,22973,30566,35569,32296,31215,51250,1952.0,0,44,14,16,33,48,129,534,443,152,999,1127,204000,3417,1386,0,0,0,0,0,170,19,0,151,0,193,34,0,0,159,0,1023,1023,6,1004,13,0,18.5,17.61416589
Athmar Park,9233.0,6137.0,2338.0,111.0,141.0,385.0,8.0,20.0,93.0,66.47596619,25.46269328,1.12604194,1.64491184,3.85099649,0.07606009,0.22089293,1.14243725,4533.0,4700.0,495.0,677.0,716.0,312.0,1172.0,1232.0,1342.0,1686.0,1295.0,1065.0,787.0,501.0,153.0,2200.0,1432.0,23.59728806,15.14574244,35.3,35.35,34.75,8980,2302,144,218,494,627,447,317,55,6678,4187.0,835.0,1458.0,1340.0,280.0,274.0,6452.0,1917.0,1875.0,1379.0,1281.0,8738.0,4032.0,4345.0,3224,3158,66,1861,1297,3158,2120,1347,773,264,509,1038,664,374,145,106,230,152,90,188,227,166,179,298,401,359,234,195,109,79,51982,55183,23619,51982,55183,34168,35620,31210,28130,30826,35140,54110,68736,1955.0,23,0,21,115,116,162,116,2037,436,198,1088,1244,273150,6948,2285,47,23,13,11,0,274,30,1,243,0,8,8,0,0,0,0,1956,1956,0,1956,0,0,18.65,17.05461326
Virginia Village,14437.0,2248.0,9949.0,1202.0,0.0,558.0,48.0,111.0,321.0,15.43463809,69.4595446,7.98254298,0.0,3.81153655,0.33557047,0.72910844,2.24705888,7273.0,7164.0,766.0,728.0,639.0,221.0,1494.0,1031.0,2946.0,3016.0,1516.0,1611.0,1617.0,574.0,632.0,2354.0,2258.0,16.31659687,15.5705675,35.975,34.9,37.05,13889,2870,163,160,603,499,334,734,377,11019,8053.0,1907.0,3286.0,1912.0,615.0,333.0,10992.0,884.0,1675.0,2604.0,5829.0,13671.0,11006.0,1145.0,6824,6379,445,2748,3631,6379,2882,2113,769,336,433,3497,2475,1022,219,281,262,290,382,321,292,240,273,604,526,941,532,427,489,300,71074,80931,38333,71074,80931,42101,45347,38132,16919,32520,34954,47512,54487,1963.0,128,5,58,157,354,1357,1837,2684,117,127,1348,1455,392800,12288,2149,358,71,95,50,142,600,196,56,244,104,652,356,0,6,22,0,539,519,0,440,79,20,14.95,10.45749664
DIA,1708.0,491.0,603.0,464.0,11.0,19.0,0.0,0.0,120.0,28.7470726,35.30444965,27.16627635,0.6440281,1.11241218,0.0,0.0,7.02576112,778.0,930.0,149.0,205.0,93.0,86.0,354.0,179.0,238.0,356.0,277.0,130.0,125.0,49.0,0.0,533.0,132.0,31.20608899,7.72833724,32.9,33.7,32.3,1620,495,80,36,129,82,94,66,8,1125,867.0,59.0,336.0,279.0,113.0,80.0,1084.0,87.0,247.0,476.0,274.0,1559.0,1323.0,116.0,678,678,0,483,195,678,384,200,184,28,156,294,245,49,6,24,45,35,16,42,27,42,56,87,75,114,75,8,0,26,54125,54076,26540,54125,54076,43236,47063,39441,25729,40139,43214,45242,44831,2005.0,0,41,561,48,5,23,0,0,0,0,1313,1517,203500,1437,271,8,0,8,0,0,39,7,0,12,20,127,96,0,0,31,0,97,97,0,97,0,0,10.4,9.895803
